iter	Passed	Remaining
0	144	144744
1	146	73003
2	147	49044
3	148	37042
4	149	29772
5	150	24949
6	151	21507
7	152	18925
8	153	16927
9	155	15381
10	157	14171
11	158	13064
12	159	12144
13	160	11328
14	162	10640
15	162	10016
16	163	9467
17	164	8978
18	165	8540
19	166	8146
20	167	7789
21	167	7464
22	169	7213
23	171	6962
24	172	6746
25	173	6517
26	175	6309
27	175	6108
28	177	5936
29	178	5762
30	179	5597
31	179	5440
32	180	5294
33	181	5157
34	182	5028
35	184	4940
36	185	4828
37	187	4748
38	188	4647
39	189	4556
40	190	4466
41	191	4375
42	192	4287
43	193	4202
44	194	4122
45	195	4045
46	195	3972
47	196	3902
48	198	3843
49	199	3791
50	202	3769
51	203	3712
52	204	3655
53	205	3603
54	206	3551
55	207	3499
56	208	3448
57	209	3398
58	210	3350
59	210	3303
60	211	3258
61	214	3237
62	215	3205
63	217	3176
64	218	3138
65	219	3101
66	220	3066
67	221	3030
68	221	2994
69	222	2958
70	223	2923
71	224	2891
72	225	2860
73	226	2828
74	226	2797
75	228	2776
76	230	2757
77	231	2732
78	232	2707
79	233	2680
80	234	2655
81	235	2631
82	235	2601
83	236	2576
84	237	2552
85	237	2528
86	238	2504
87	239	2481
88	240	2461
89	243	2460
90	245	2450
91	246	2431
92	247	2414
93	248	2396
94	249	2378
95	250	2358
96	251	2338
97	252	2319
98	252	2300
99	253	2282
100	254	2265
101	256	2254
102	257	2240
103	259	2233
104	260	2220
105	261	2205
106	262	2190
107	263	2174
108	264	2160
109	265	2144
110	265	2130
111	266	2115
112	267	2100
113	268	2085
114	269	2071
115	271	2065
116	272	2053
117	273	2046
118	274	2034
119	275	2022
120	276	2011
121	277	2000
122	278	1988
123	279	1975
124	280	1963
125	281	1951
126	281	1937
127	282	1925
128	283	1914
129	285	1909
130	286	1900
131	288	1896
132	289	1888
133	290	1878
134	291	1867
135	292	1858
136	293	1849
137	294	1839
138	295	1829
139	296	1818
140	296	1808
141	297	1797
142	298	1786
143	299	1782
144	300	1773
145	302	1771
146	303	1762
147	304	1754
148	305	1745
149	306	1738
150	307	1729
151	308	1720
152	309	1711
153	309	1702
154	310	1693
155	311	1685
156	312	1676
157	313	1670
158	314	1663
159	316	1660
160	317	1652
161	317	1644
162	318	1637
163	319	1629
164	320	1621
165	321	1614
166	322	1606
167	322	1598
168	323	1591
169	324	1583
170	325	1576
171	325	1569
172	326	1561
173	327	1554
174	329	1552
175	330	1548
176	331	1543
177	333	1537
178	334	1532
179	335	1526
180	336	1521
181	337	1514
182	337	1508
183	338	1501
184	339	1495
185	340	1488
186	340	1482
187	341	1475
188	343	1473
189	345	1472
190	346	1466
191	347	1462
192	348	1456
193	349	1451
194	350	1445
195	350	1439
196	351	1433
197	352	1427
198	353	1422
199	354	1416
200	354	1410
201	355	1404
202	357	1403
203	358	1399
204	360	1397
205	361	1392
206	362	1387
207	363	1382
208	364	1379
209	365	1373
210	365	1368
211	366	1363
212	367	1358
213	368	1353
214	369	1347
215	369	1342
216	371	1339
217	372	1336
218	375	1337
219	376	1334
220	377	1331
221	378	1327
222	379	1323
223	381	1319
224	381	1315
225	383	1311
226	384	1307
227	385	1304
228	386	1302
229	388	1301
230	389	1297
231	390	1292
232	391	1289
233	392	1285
234	393	1280
235	394	1275
236	394	1271
237	395	1266
238	396	1261
239	397	1257
240	398	1256
241	399	1252
242	401	1251
243	402	1247
244	403	1244
245	404	1240
246	405	1236
247	406	1232
248	407	1228
249	407	1223
250	408	1219
251	409	1215
252	410	1211
253	410	1207
254	411	1202
255	413	1201
256	414	1198
257	416	1198
258	418	1195
259	419	1192
260	420	1190
261	421	1187
262	422	1184
263	423	1180
264	424	1176
265	424	1172
266	425	1168
267	426	1164
268	428	1163
269	429	1159
270	430	1156
271	430	1153
272	431	1149
273	432	1146
274	433	1142
275	434	1138
276	434	1135
277	435	1131
278	436	1127
279	437	1124
280	438	1120
281	438	1117
282	439	1113
283	440	1110
284	441	1106
285	442	1104
286	443	1101
287	444	1098
288	445	1095
289	446	1091
290	446	1088
291	447	1085
292	448	1081
293	449	1078
294	449	1075
295	450	1071
296	451	1068
297	452	1065
298	453	1062
299	453	1058
300	454	1055
301	455	1052
302	456	1050
303	457	1047
304	458	1044
305	459	1041
306	460	1038
307	460	1035
308	461	1032
309	462	1029
310	463	1026
311	463	1022
312	464	1019
313	465	1016
314	466	1013
315	467	1010
316	467	1008
317	468	1005
318	469	1002
319	470	1000
320	471	998
321	472	995
322	473	992
323	474	989
324	475	987
325	475	984
326	476	981
327	477	978
328	478	975
329	479	972
330	479	969
331	480	966
332	481	964
333	482	961
334	482	958
335	483	956
336	484	953
337	485	950
338	486	948
339	487	946
340	488	943
341	489	940
342	489	938
343	490	935
344	491	932
345	492	930
346	492	927
347	493	924
348	494	922
349	495	919
350	495	916
351	496	914
352	497	911
353	498	909
354	499	906
355	499	904
356	500	902
357	502	900
358	503	898
359	503	895
360	504	893
361	505	890
362	506	888
363	507	885
364	507	883
365	508	881
366	509	878
367	510	876
368	511	874
369	512	872
370	513	870
371	514	867
372	515	867
373	516	865
374	517	863
375	518	860
376	519	858
377	520	856
378	521	853
379	522	851
380	522	849
381	523	847
382	524	844
383	525	842
384	525	840
385	526	837
386	527	835
387	528	833
388	530	833
389	531	831
390	532	829
391	533	827
392	534	824
393	534	822
394	535	820
395	536	818
396	537	815
397	537	813
398	538	811
399	539	809
400	540	807
401	541	804
402	541	802
403	542	800
404	543	798
405	544	796
406	545	794
407	546	792
408	547	790
409	547	788
410	548	786
411	549	784
412	550	781
413	550	779
414	551	777
415	552	775
416	553	773
417	553	771
418	554	769
419	555	767
420	556	765
421	557	762
422	557	761
423	558	759
424	559	757
425	560	755
426	561	753
427	562	751
428	563	749
429	563	747
430	564	745
431	565	743
432	566	741
433	567	739
434	568	738
435	569	736
436	569	734
437	570	732
438	571	730
439	572	728
440	573	726
441	574	725
442	575	723
443	576	721
444	576	719
445	577	717
446	578	715
447	579	713
448	579	711
449	580	709
450	581	707
451	582	705
452	582	703
453	583	702
454	584	700
455	585	698
456	586	696
457	586	694
458	587	692
459	588	690
460	589	689
461	590	687
462	591	685
463	591	683
464	592	681
465	593	679
466	594	678
467	594	676
468	595	674
469	596	672
470	597	670
471	597	668
472	598	667
473	599	665
474	600	663
475	600	661
476	601	659
477	602	658
478	603	656
479	604	654
480	605	653
481	606	651
482	606	649
483	607	647
484	608	646
485	609	644
486	610	642
487	610	640
488	611	639
489	612	637
490	613	635
491	614	634
492	614	632
493	615	630
494	616	628
495	617	627
496	618	625
497	619	624
498	620	622
499	620	620
500	621	619
501	622	617
502	623	615
503	623	614
504	624	612
505	625	610
506	626	609
507	627	607
508	628	606
509	629	604
510	629	602
511	631	601
512	631	599
513	632	598
514	633	596
515	634	595
516	635	594
517	636	592
518	637	591
519	638	589
520	639	587
521	639	586
522	640	584
523	641	582
524	642	581
525	643	579
526	644	578
527	644	576
528	646	575
529	647	574
530	648	573
531	649	571
532	650	569
533	651	568
534	651	566
535	652	565
536	653	563
537	654	561
538	655	560
539	655	558
540	656	557
541	657	555
542	658	554
543	659	552
544	659	550
545	660	549
546	661	547
547	662	546
548	663	544
549	664	543
550	664	541
551	665	540
552	666	538
553	667	537
554	670	537
555	671	536
556	672	535
557	673	533
558	674	532
559	675	530
560	675	528
561	677	528
562	679	527
563	680	526
564	681	524
565	682	523
566	683	521
567	684	520
568	685	519
569	685	517
570	686	515
571	687	514
572	688	512
573	689	511
574	690	510
575	691	509
576	693	508
577	694	507
578	695	505
579	697	504
580	697	503
581	698	501
582	700	500
583	700	499
584	701	497
585	702	496
586	703	495
587	704	493
588	707	493
589	709	493
590	710	491
591	712	490
592	713	489
593	714	488
594	715	487
595	716	485
596	717	484
597	718	483
598	721	482
599	722	481
